sample_row,doi,doi_url,openalex_id,openalex_url,openalex_matched,citation_history_retrieved,title,authors,journal,publisher,publication_year,retraction_year,retraction_year_stratum,fixed_minus_5_to_plus_5_cohort,post_retraction_citing_works_years_plus_1_to_plus_5,top_200_post_retraction_rank,sample_random_seed,retraction_cutoff_year,openalex_retrieved_date,calendar_year_relative_minus_5,included_in_denominator_relative_minus_5,citing_works_relative_minus_5,calendar_year_relative_minus_4,included_in_denominator_relative_minus_4,citing_works_relative_minus_4,calendar_year_relative_minus_3,included_in_denominator_relative_minus_3,citing_works_relative_minus_3,calendar_year_relative_minus_2,included_in_denominator_relative_minus_2,citing_works_relative_minus_2,calendar_year_relative_minus_1,included_in_denominator_relative_minus_1,citing_works_relative_minus_1,calendar_year_relative_zero,included_in_denominator_relative_zero,citing_works_relative_zero,calendar_year_relative_plus_1,included_in_denominator_relative_plus_1,citing_works_relative_plus_1,calendar_year_relative_plus_2,included_in_denominator_relative_plus_2,citing_works_relative_plus_2,calendar_year_relative_plus_3,included_in_denominator_relative_plus_3,citing_works_relative_plus_3,calendar_year_relative_plus_4,included_in_denominator_relative_plus_4,citing_works_relative_plus_4,calendar_year_relative_plus_5,included_in_denominator_relative_plus_5,citing_works_relative_plus_5
2564,10.1109/icbbe.2011.5781641,https://doi.org/10.1109/icbbe.2011.5781641,W1493945009,https://openalex.org/W1493945009,TRUE,TRUE,Study on Efficient and Harmfulless Solvent-Based Paint Stripper for Tinplate,Ning Duan;Yanlin Hu;Di Ge;Keming Wu;Huiling Zhang,2011 5th International Conference on Bioinformatics and Biomedical Engineering,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2565,10.1109/icbbe.2011.5781642,https://doi.org/10.1109/icbbe.2011.5781642,W1676582478,https://openalex.org/W1676582478,TRUE,TRUE,Determination of permethrin residues in vegetables by photochemical fluorescence spectrometry,Manxiu Li;Yanan Li;Xumei Yao,2011 5th International Conference on Bioinformatics and Biomedical Engineering,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2566,10.1109/icbbe.2011.5781646,https://doi.org/10.1109/icbbe.2011.5781646,W1791698438,https://openalex.org/W1791698438,TRUE,TRUE,Genome cloning of human bocavirus (HBoV1) and prospective study of NP1 gene transcription,Jingjing Li;Yuan Wang;Bin Sun;Jinfeng Ouyang;Hu Han;Qinqin Huang;Yongbo Yang;Yi Li,2011 5th International Conference on Bioinformatics and Biomedical Engineering,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2567,10.1109/icbbe.2011.5781648,https://doi.org/10.1109/icbbe.2011.5781648,W1885118291,https://openalex.org/W1885118291,TRUE,TRUE,Alteronol induces cycle arrest in human promyelocytic leukemia (HL-60) cells,Ying Yao;Hongmei Chen;Ji Chen;Defang Li;Bo Zhang;Yishan Wang;Zhenhua Wang;Qiusheng Zheng,2011 5th International Conference on Bioinformatics and Biomedical Engineering,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,1,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2568,10.1109/icbbe.2011.5781651,https://doi.org/10.1109/icbbe.2011.5781651,W1587848699,https://openalex.org/W1587848699,TRUE,TRUE,"Comparison of density fractions of heavy metals (As, Cd, Cu and Pb) in sediments collected from two estuaries of Liaodong Gulf, China",Shaofeng Wang;Yongfeng Jia;Shuying Wang,2011 5th International Conference on Bioinformatics and Biomedical Engineering,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2569,10.1109/icbbe.2011.5781662,https://doi.org/10.1109/icbbe.2011.5781662,W2112857160,https://openalex.org/W2112857160,TRUE,TRUE,Spatial and temporal changes of infectious diseases in China,Chengjing Nie;Linsheng Yang;Hairong Li;Yongfeng Liao;Qunou Jiang,2011 5th International Conference on Bioinformatics and Biomedical Engineering,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2570,10.1109/icbbe.2011.5781666,https://doi.org/10.1109/icbbe.2011.5781666,W1596385565,https://openalex.org/W1596385565,TRUE,TRUE,New discussion of coal gangue processing,Hao Liu;Kangkang Han;Tao Du;Jun Nian,2011 5th International Conference on Bioinformatics and Biomedical Engineering,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2571,10.1109/icbmei.2011.5914399,https://doi.org/10.1109/icbmei.2011.5914399,W1900534232,https://openalex.org/W1900534232,TRUE,TRUE,Characteristic and Dynamic Mechanism of Tourism Ecological Security in Nature Heritages,Bin Wen;Zhao ping Yang;Xu ling Liu,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2572,10.1109/icbmei.2011.5914876,https://doi.org/10.1109/icbmei.2011.5914876,W2170616677,https://openalex.org/W2170616677,TRUE,TRUE,Tentative Analysis of Battery Rental Model of Electric Sedan,Zhili Wang;Xiaoli Wang,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2573,10.1109/icbmei.2011.5914878,https://doi.org/10.1109/icbmei.2011.5914878,W1914807194,https://openalex.org/W1914807194,TRUE,TRUE,The Construction and Empirical Study of China's Financial Conditions Index in New Situation,Jiewen Diao;Hu Zhang,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2574,10.1109/icbmei.2011.5916886,https://doi.org/10.1109/icbmei.2011.5916886,W1599255230,https://openalex.org/W1599255230,TRUE,TRUE,A Conflict Prevention Team Building System and its Partnership Disbanding Parameter Design with Put Option—Based on Gradual and Deniable Partnership Using Financial Derivatives,Shi chang Fu;Yong chang Fu,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2575,10.1109/icbmei.2011.5916893,https://doi.org/10.1109/icbmei.2011.5916893,W1833651509,https://openalex.org/W1833651509,TRUE,TRUE,Causes and Containment of the Super-raise of Growth Enterprise Market,Guihong Xu,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2576,10.1109/icbmei.2011.5916901,https://doi.org/10.1109/icbmei.2011.5916901,W2275894694,https://openalex.org/W2275894694,TRUE,TRUE,Comparative Analysis of International Service Outsourcing,Jia long Mi,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2577,10.1109/icbmei.2011.5916907,https://doi.org/10.1109/icbmei.2011.5916907,W1650085308,https://openalex.org/W1650085308,TRUE,TRUE,Three-dimensional frame of agglomeration economy: The development strategy of city group under global production network,Li ping Wu;Ying Ke,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2578,10.1109/icbmei.2011.5916919,https://doi.org/10.1109/icbmei.2011.5916919,W1933270489,https://openalex.org/W1933270489,TRUE,TRUE,Incentive Research of Enterprise Employees Based on Psychology Contract Duality Classifies Model,Zhitao Yu;Fen Liu,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2579,10.1109/icbmei.2011.5916921,https://doi.org/10.1109/icbmei.2011.5916921,W1906085015,https://openalex.org/W1906085015,TRUE,TRUE,Analysis of human capital and economic growth in Hunan Province: 1978-2007,Hua Jun Shi,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2580,10.1109/icbmei.2011.5916933,https://doi.org/10.1109/icbmei.2011.5916933,W1956668458,https://openalex.org/W1956668458,TRUE,TRUE,A Study on the Display of Folk art in Folk Theme Park—Taking Lufeng Shadow Play as an Example,Ji Wen;Yingmei Qin,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2581,10.1109/icbmei.2011.5916935,https://doi.org/10.1109/icbmei.2011.5916935,W2284783466,https://openalex.org/W2284783466,TRUE,TRUE,A Study on the Pattern of CRM Emphasizing Creating Customer Value,ZhiJun Huang;HongXia Wu,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,1,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,1,2015,TRUE,0,2016,TRUE,0
2582,10.1109/icbmei.2011.5916956,https://doi.org/10.1109/icbmei.2011.5916956,W1684676128,https://openalex.org/W1684676128,TRUE,TRUE,Research on the Application of 4Ps Marketing Theory Based on Chinese Consumer Psychology,Liangfang Huang;Lingling Wang,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2583,10.1109/icbmei.2011.5916985,https://doi.org/10.1109/icbmei.2011.5916985,W1871540195,https://openalex.org/W1871540195,TRUE,TRUE,Research on the Mechanism of Education Investment to Regional Income Disparity in China,Weiguo Wang;Yun Feng,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2584,10.1109/icbmei.2011.5916991,https://doi.org/10.1109/icbmei.2011.5916991,W1956595142,https://openalex.org/W1956595142,TRUE,TRUE,The strategic study on sustainable development for retail industry of Nanyang,Lei Zhao,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2585,10.1109/icbmei.2011.5917035,https://doi.org/10.1109/icbmei.2011.5917035,W1879637731,https://openalex.org/W1879637731,TRUE,TRUE,The Effect of CEO Power on Corporate Performance: Evidence from China,Shouming Chen;Zhaoxia Wang,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2586,10.1109/icbmei.2011.5917064,https://doi.org/10.1109/icbmei.2011.5917064,W1932989948,https://openalex.org/W1932989948,TRUE,TRUE,Empirical Analysis on the Evolution of Banking Structure and Economic Growth in Hubei Province,Lei Xu;Wei an Du,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2587,10.1109/icbmei.2011.5917067,https://doi.org/10.1109/icbmei.2011.5917067,W1902354736,https://openalex.org/W1902354736,TRUE,TRUE,"CFO Complex Characteristic, Agency Costs and Corporate Value: Based on Financial Engineering Cube Concept",Jianglong Wu;Xueyi Zhu;Guoliang Huang,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,1,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,1,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2588,10.1109/icbmei.2011.5917832,https://doi.org/10.1109/icbmei.2011.5917832,W1559812456,https://openalex.org/W1559812456,TRUE,TRUE,On strengthening enterprise informal organization management,Hongliang Cao,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,3,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,1,2015,TRUE,1,2016,TRUE,1
2589,10.1109/icbmei.2011.5917847,https://doi.org/10.1109/icbmei.2011.5917847,W1600226147,https://openalex.org/W1600226147,TRUE,TRUE,Dynamic Relationship Between Oil Price and China Stock Market,Chunhong Li;Zhongying Qi;Tan Li;Tang Jie;Xiaona Wang,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2590,10.1109/icbmei.2011.5917852,https://doi.org/10.1109/icbmei.2011.5917852,W1554637698,https://openalex.org/W1554637698,TRUE,TRUE,Government Subsidy Structures and Private R&D: Cost Sharing or Performance Reward? China Evidence,Yujun Lian;Kaiguo Zhou,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2591,10.1109/icbmei.2011.5917858,https://doi.org/10.1109/icbmei.2011.5917858,W1886687327,https://openalex.org/W1886687327,TRUE,TRUE,Corporate governance and institutional enviroment: Substitute or outcome?,Chengmin Xiao,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2592,10.1109/icbmei.2011.5917867,https://doi.org/10.1109/icbmei.2011.5917867,W1934692097,https://openalex.org/W1934692097,TRUE,TRUE,Factors that affect the growth of farmers' income,Weian Du;Peng Wei,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2593,10.1109/icbmei.2011.5917879,https://doi.org/10.1109/icbmei.2011.5917879,W1521739296,https://openalex.org/W1521739296,TRUE,TRUE,On Evaluation System of the Degree of Regional Coordinated Development,Huaquan Ma,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2594,10.1109/icbmei.2011.5917900,https://doi.org/10.1109/icbmei.2011.5917900,W1577475057,https://openalex.org/W1577475057,TRUE,TRUE,Some considerations on risk management for critical points in Export Procedure,Baoqing Han,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2595,10.1109/icbmei.2011.5917901,https://doi.org/10.1109/icbmei.2011.5917901,W2274459657,https://openalex.org/W2274459657,TRUE,TRUE,The goals-structured and models in family business culture,DuanYuan Peng,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2596,10.1109/icbmei.2011.5917907,https://doi.org/10.1109/icbmei.2011.5917907,W1880998169,https://openalex.org/W1880998169,TRUE,TRUE,Regulation Change of Western Countries and Enlightment,Wenlong Lou,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2597,10.1109/icbmei.2011.5917937,https://doi.org/10.1109/icbmei.2011.5917937,W2292099513,https://openalex.org/W2292099513,TRUE,TRUE,The research on measurement method of knowledge work productivity,Min Xiao;Changjun Dai,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,2,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,1,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,1
2598,10.1109/icbmei.2011.5917959,https://doi.org/10.1109/icbmei.2011.5917959,W1827282418,https://openalex.org/W1827282418,TRUE,TRUE,Enhancing Graduate's Employability Through Experimental Learning Taking Economics and Business Administration Undergraduates as an Example,Bingchun Qu;Xinlong Wei,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,1,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,1,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2599,10.1109/icbmei.2011.5917979,https://doi.org/10.1109/icbmei.2011.5917979,W1832931814,https://openalex.org/W1832931814,TRUE,TRUE,By the economic view Chinese private higher education development pattern,Zhigang Wang;Bo Su,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2600,10.1109/icbmei.2011.5918013,https://doi.org/10.1109/icbmei.2011.5918013,W2279104285,https://openalex.org/W2279104285,TRUE,TRUE,Study of the relationship between IPO market timing and capital structure of Real Estate companies Econometric evidence from the Panel Data of Hong Kong Main Board Stock Market,Gao Chun Li;Lan Feng,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,1,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,1,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2601,10.1109/icbmei.2011.5918015,https://doi.org/10.1109/icbmei.2011.5918015,W1505707493,https://openalex.org/W1505707493,TRUE,TRUE,Recognition of the value of customer loyalty for Chinese brand M & A party,Liu Jin,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2602,10.1109/icbmei.2011.5918019,https://doi.org/10.1109/icbmei.2011.5918019,W1528445110,https://openalex.org/W1528445110,TRUE,TRUE,Analysis on cultural marketing strategy of our country enterprises in international entrepreneurship,Jiachen Fan,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2603,10.1109/icbmei.2011.5918020,https://doi.org/10.1109/icbmei.2011.5918020,W2288983405,https://openalex.org/W2288983405,TRUE,TRUE,Strategic Consideration on the Sustainable Development of Industrial Clusters in Henan Province —Based on the Perspective of Circular Economy,Jiachen Fan,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2604,10.1109/icbmei.2011.5918031,https://doi.org/10.1109/icbmei.2011.5918031,W1645630861,https://openalex.org/W1645630861,TRUE,TRUE,The Application of Statistical Methods in Economic History Research — Taking American New Economic History as an Example,Lianhui Zhang,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2605,10.1109/icbmei.2011.5918032,https://doi.org/10.1109/icbmei.2011.5918032,W1869803777,https://openalex.org/W1869803777,TRUE,TRUE,The Organizational Model for Innovative Economic Circle,Jingjing Qi,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2606,10.1109/icbmei.2011.5920340,https://doi.org/10.1109/icbmei.2011.5920340,W2288319584,https://openalex.org/W2288319584,TRUE,TRUE,The Factors Affecting Educational Investment of Farm Households Suffering Major Illnesses in Poor Areas,Fanrong Kong;Yunjin Tan,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
2607,10.1109/icbmei.2011.5920343,https://doi.org/10.1109/icbmei.2011.5920343,W1588747347,https://openalex.org/W1588747347,TRUE,TRUE,An Empirical Research on the Influence of Psychological Contract Violations on Customer Complaint Behavior,Faliang Tang,2011 International Conference on Business Management and Electronic Information,IEEE: Institute of Electrical and Electronics Engineers,2011,2011,2011,FALSE,0,,20260712,2020,2026-07-18,2006,FALSE,,2007,FALSE,,2008,FALSE,,2009,FALSE,,2010,FALSE,,2011,TRUE,0,2012,TRUE,0,2013,TRUE,0,2014,TRUE,0,2015,TRUE,0,2016,TRUE,0
