rank,doi,openalex_id,title,authors,journal,publisher,publication_year,retraction_year,post_retraction_citations
88,10.1038/cdd.2008.151,W2063265653,A Novel function of Poly(ADP-ribose) Polymerase-1 in Modulation of Autophagy and Necrosis Under Oxidative Stress,Qing Huang;Y-T Wu;H-L Tan;C-N Ong;Han-Ming Shen,Cell Death and Differentiation,Nature Publishing Group,2009,2010,56
89,10.1093/mnras/sty1889,W2798402143,Survey geometry and the internal consistency of recent cosmic shear measurements,M A Troxel;E Krause;C Chang;T F Eifler;O Friedrich;D Gruen;N MacCrann;A Chen;C Davis;J DeRose;S Dodelson;M Gatti;B Hoyle;D Huterer;M Jarvis;F Lacasa;P Lemos;H V Peiris;J Prat;S Samuroff;C Sanchez;E Sheldon;P Vielzeuf;M Wang;J Zuntz;O Lahav;F B Abdalla;S Allam;J Annis;S Avila;E Bertin;D Brooks;D L Burke;A Carnero Rosell;M Carrasco Kind;J Carretero;M Crocce;C E Cunha;C B D'Andrea;L N da Costa;J de Vicente;H T Diehl;P Doel;A E Evrard;B Flaugher;P Fosalba;J Frieman;J Garcia-Bellido;E Gaztanaga;D W Gerdes;R A Gruendl;J Gschwend;G Gutierrez;W G Hartley;D L Hollowood;K Honscheid;D J James;D Kirk;K Kuehn;N Kuropatkin;T S Li;M Lima;M March;F Menanteau;R Miguel;J J Mohr;R L C Ogando;A A Plazas;A Roodman;E Sanchez;V Scarpine;R Schindler;I Sevilla-Noarbe;M Smith;M Soares-Santos;F Sobreira;E Suchyta;M E C Swanson;D Thomas;A R Walker;R H Wechsler,Monthly Notices of the Royal Astronomical Society: Letters,Oxford University Press,2018,2019,56
90,10.1002/14651858.cd002778.pub2,W1923301130,Stabilisation splint therapy for temporomandibular pain dysfunction syndrome (Pub 2),M Ziad Al Ani;Stephen J Davies;Robin JM Gray;Philip Sloan;Anne‐Marie Glenny,Cochrane Database of Systematic Reviews,Wiley,2004,2016,55
91,10.1002/14651858.cd002966.pub3,W2129416530,Metformin monotherapy for type 2 diabetes mellitus (Pub 3),Antonio Saenz;Inmaculada Fernandez Esteban;Angel Mataix;Monica Ausejo Segura;Marta Roque i Figuls;David Moher,Cochrane Database of Systematic Reviews,Wiley,2005,2015,55
92,10.1002/14651858.cd003815.pub3,W2112293122,Interventions for replacing missing teeth: different types of dental implants (Pub 3),Marco Esposito;Lawrence Murray-Curtis;Maria Babriella Grusovin;Paul Coulthard;Helen V Worthington,Cochrane Database of Systematic Reviews,Wiley,2007,2019,55
93,10.1002/14651858.cd004870.pub4,W3023194200,Acupuncture for neck disorders (Pub 4),Kien Trinh;Nadine Graham;Dominik Irnich;Ian D Cameron;Mario Forget,Cochrane Database of Systematic Reviews,Wiley,2016,2016,55
94,10.1016/j.jpainsymman.2015.10.020,W2176823993,Prevalence and Predictors of Burnout Among Hospice and Palliative Care Clinicians in the US,Arif H Kamal;Janet H Bull;Steven P Wolf;Keith M Swetz;Taut D Shanafelt;Katherine Ast;Dio Kavalieratos;Christian T Sinclair;Amy P Abernathy,Journal of Pain and Symptom Management,Elsevier,2015,2020,55
95,10.1074/mcp.ra118.000792,W2886228860,Identification of tumor antigens among the HLA peptidomes of glioblastoma tumors and plasma,Bracha Shraibman;Eilon Barnea;Dganit Melamed Kadosh;Yael Haimovich;Gleb Slobodin;Itzhak Rosner;Carlos Lopez-Larrea;Norbert Hilf;Sabrina Kuttruff;Colette Song;Cedrik Britten;John Castle;Sebastian Kreiter;Katrin Frenzel;Marcos Tatagiba;Ghazaleh Tabatabai;Pierre Yves Dietrich;Valerie Dutoit;Wolfgang Wick;Michael Platten;Frank Winkler;Andreas von Deimling;Judith Kroep;Juan Sahuquillo;Francisco Martinez-Ricarte;Jordi Rodon;Ulrik Lassen;Christian Ottensmeier;Sjoerd H van der Burg;Per Thor Straten;Hans Skovgaard Poulsen;Berta Ponsati;Hideho Okada;Hans Georg Rammensee;Ugur Sahin;Harpreet Singh;Arie Admon,Molecular and Cellular Proteomics,American Society for Biochemistry and Molecular Biology (ASBMB),2018,2019,55
96,10.1371/journal.pone.0215840,W2941752216,Effects of curcumin on glycemic control and lipid profile in prediabetes and type 2 diabetes mellitus: A systematic review and meta-analysis,Nalinee Poolsup;Naeti Suksomboon;Putu Dian Marani Kurnianta;Kulchalee Deawjaroen,PLoS One,PLoS,2019,2020,55
97,10.1074/jbc.m312044200,W2164032619,Akt Phosphorylation and Stabilization of X-linked Inhibitor of Apoptosis Protein (XIAP),Han C Dan;Mei Sun;Satoshi Kaneko;Richard I Feldman;Santo V Nicosia;Hong-Gang Wang;Benjamin K Tsang;Jin Q Cheng,The Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology (ASBMB),2004,2016,54
98,10.1074/jbc.m801035200,W2058158664,Down-regulation of miR-1/miR-133 contributes to re-expression of pacemaker channel genes HCN2 and HCN4 in hypertrophic heart,Xiaobin Luo;Huixian Lin;Zhengwei Pan;Jiening Xiao;Yong Zhang;Yanjie Lu;Baofeng Yang;Zhiguo Wang,The Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology (ASBMB),2008,2011,54
99,10.1002/14651858.cd002096.pub4,W4235576820,Eradication of Helicobacter pylori for non‐ulcer dyspepsia (Pub 4),Paul Moayyedi;Shelly Soo;Jonathan J Deeks;Brendan Delaney;Adam Harris;Michael Innes;R Oakes;Sue Wilson;A Roalfe;Cathy Bennett;David Forman,Cochrane Database of Systematic Reviews,Wiley,2006,2011,53
100,10.1172/jci34378,W4235311234,In utero supplementation with methyl donors enhances allergic airway disease in mice,John W Hollingsworth;Shuichiro Maruoka;Kathy Boon;Stavros Garantziotis;Zhuowei Li;John Tomfohr;Nathaniel Bailey;Erin Nicole Potts-Kant;Gregory Whitehead;David M Brass;David A Schwartz,The Journal of Clinical Investigation (JCI),American Society of Clinical Investigation,2008,2016,53
101,10.1002/gps.3845,W2119138095,Depression as a risk factor for dementia and mild cognitive impairment: a meta-analysis of longitudinal studies,Yuan Gao;Changquan Huang;Kexiang Zhao;Louyan Ma;Zuan Qiu;Lei Zhang;Yun Xiu;Lin Chen;Wei Lu;Chunxia Huang;Yong Tang;Qian Xiao,Geriatric Psychiatry,Wiley,2012,2015,52
102,10.1016/s1470-2045(07)70345-5,W2118126404,Validation of gene signatures that predict the response of breast cancer to neoadjuvant chemotherapy: a substudy of the EORTC 10994/BIG 00-01 clinical trial,Herve Bonnefoi;Anil Potti;Mauro Delorenzi;Louis Mauriac;Mario Campone;Michèle Tubiana-Hulin;Thierry Petit;Philippe Rouanet;Jacek Jassem;Emmanuel Blot;Véronique Becette;Pierre Farmer;Sylvie Andre;Chaitanya R Acharya;Sayan Mukherjee;David Cameron;Jonas Bergh;Joseph R Nevins;Richard D Iggo,The Lancet: Oncology,Elsevier,2007,2011,52
103,10.1159/000492096,W2884851196,"Effects of Fibronectin 1 on Cell Proliferation, Senescence and Apoptosis of Human Glioma Cells Through the PI3K/AKT Signaling Pathway",Yu Xiang Liao;Zhi Ping Zhang;Jie Zhao;Jing Ping Liu,Cellular Physiology and Biochemistry,Karger,2018,2020,52
104,10.3389/fimmu.2018.00824,W2801887850,Targeting and Therapy of Glioblastoma in a Mouse Model Using Exosomes Derived From Natural Killer Cells,Liya Zhu;Ji Min Oh;Prakash Gangadaran;Senthilkumar Kalimuthu;Se Hwan Baek;Shin Young Jeong;Sang Woo Lee;Jaeta Lee;Byeong Cheol Ahn,Frontiers in Immunology,Frontiers,2018,2019,52
105,10.1002/14651858.cd000073,W2111430949,Doppler ultrasound for fetal assessment in high risk pregnancies,Zarko Alfirevic;James P Neilson,Cochrane Database of Systematic Reviews,Wiley,1996,2010,51
106,10.1002/14651858.cd000524.pub2,W2160552283,Cognitive behaviour therapy for schizophrenia (Pub 2),Christopher Jones;Irene Cormac;Joaquim I Silveira da Mota Neto;Colin Campbell,Cochrane Database of Systematic Reviews,Wiley,2004,2011,51
107,10.1002/14651858.cd004403.pub2,W4234337151,Antibiotics for exacerbations of chronic obstructive pulmonary disease (Pub 2),Felix SF Ram;Robert Rodriguez Roisin;Alicia Granados Navarrete;Judith Garcia Aymerich;Neil C Barnes,Cochrane Database of Systematic Reviews,Wiley,2006,2011,51
108,10.1007/s10815-010-9412-9,W2615836323,Can fresh embryo transfers be replaced by cryopreserved-thawed embryo transfers in assisted reproductive cycles? A randomized controlled trial.,Abbas Aflatoonian;Homa Oskouian;Shahnaz Ahmadi;Leila Oskouian,Journal of Assisted Reproduction and Genetics,Springer,2010,2013,51
109,10.1016/0014-5793(92)81355-p,W2088366175,"An endothelin B receptor-selective antagonist: IRL 1038, [Cys11-Cys15]-endothelin-1(11–21)",Yoshihiro Urade;Yasushi Fujitani;Kyoko Oda;Tadashi Watakabe;Iehiro Umemura;Michihiro Takai;Toshikazu Okada;Kiyoshi Sakata;Hideaki Karaki,FEBS Letters,Wiley,1992,1994,51
110,10.1016/j.autrev.2019.05.005,W3048009261,Rheumatoid arthritis (RA) and cardiovascular disease,Arnon Blum;Mohammad Adawi,Autoimmunity Reviews,Elsevier,2019,2020,51
111,10.1155/2014/272814,W2045565273,Algae Oil: A Sustainable Renewable Fuel of Future,Monford Paul Abishek;Jay Patel;Anand Prem Rajan,Biotechnology Research International,Hindawi,2014,2020,51
112,10.1172/jci92001,W2612466864,Molecular isoforms of high-mobility group box 1 are mechanistic biomarkers for epilepsy,Lauren Elizabeth Walker;Federica Frigerio;Teresa Ravizza;Emanuele Ricci;Karen Tse;Rosalind E Jenkins;Graeme John Sills;Andrea Jorgensen;Luca Porcu;Thimmasettappa Thippeswarmy;Tiina Alapirtti;Jukka Peltola;Martin J Brodie;Brian Kevin Park;Anthony Guy Marson;Daniel J Antoine;Annamaira Vezzani;Munir Pirmohamaed,The Journal of Clinical Investigation (JCI),American Society for Clinical Investigation,2017,2019,50
113,10.1186/2228-5326-2-1,W1500816261,Study of the wettability of ZnO nanofilms,Deepak Prasad Subedi;Dinesh Kumar Madhup;Ashish Sharma;Ujjwal Man Joshi;Andrzej Huczko,International Nano Letters,Springer,2012,2012,50
114,10.1002/14651858.cd000018,W1898952387,Interventions for preventing ankle ligament injuries,Helen HG Handoll;Brian H Rowe;Kathryn M Quinn;Rob de Bie,Cochrane Database of Systematic Reviews,Wiley,2001,2011,49
115,10.1016/j.rmed.2006.09.002,W2041971752,100 years of lung cancer,Michael Pirozynski,Respiratory Medicine,Elsevier,2006,2009,49
116,10.1016/j.yexmp.2016.03.012,W2317441279,Endothelial PECAM-1 and its function in vascular physiology and atherogenic pathology,Dimitry A Chistiakov;Alexander N Orekhov;Yuri V Bobryshev,Experimental and Molecular Pathology,Elsevier,2016,2016,49
117,10.1126/science.1455228,W2032912923,Activation of a plant gene by T-DNA tagging: auxin-independent growth in vitro,Hiroaki Hayashi;Inge Czaja;Helge Lubenow;Jeff Schell;Richard Walden,Science,American Association for the Advancement of Science (AAAS),1992,1999,49
118,10.1016/s0092-8674(00)81866-8,W2025382405,The TSG101 Tumor Susceptibility Gene Is Located in Chromosome 11 Band p15 and Is Mutated in Human Breast Cancer,Limin Li;Uta Franckea;Stanley N Cohen,Cell,Elsevier - Cell Press,1997,1998,48
119,10.1038/362450a0,W1999232863,Long-term Correction of Rat Model of Parkinson's Disease by Gene Therapy,Shoushu Jiao;Vladimir Gurevich;Jon A Wolff,Nature,Nature Publishing Group,1993,1996,48
120,10.1039/c8tc03423k,W2911860324,3D printed highly flexible strain sensor based on TPU–graphene composite for feedback from high speed robotic applications,Jahan Zeb Gul;Memoon Sajid;Kyung Hyun Choi,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2019,2020,48
121,10.1155/2015/532984,W1582392727,Small Molecule Kaempferol Promotes Insulin Sensitivity and Preserved Pancreatic β-Cell Mass in Middle-Aged Obese Diabetic Mice,Hana Alkhalidy;William Moore;Yanling Zhang;Ryan McMillan;Aihua Wang;Mostafa Ali;Kyung Shin Suh;Wei Zhen;Zhiyong Cheng;Zhenquan Jia;Matthew Hulver;Dongmin Liu,Journal of Diabetes Research,Hindawi,2015,2020,48
122,10.1158/1078-0432.ccr-09-1983,W2010884432,Glioma-associated Cancer-initiating Cells Induce Immunosuppression,Jun Wei;Jason Barr;Ling-Yuan Kong;Yongtao Wang;Adam Wu;Amit K Sharma;Joy Gumin;Verlene Henry;Howard Colman;Raymond Sawaya;Frederick F Lang;Amy B Heimberger,Clinical Cancer Research: An Official Journal of the American Association for Cancer Research,American Association for Cancer Research,2010,2015,48
123,10.1246/cl.170853,W2757574736,Enantioselective Rh- or Ir-catalyzed Directed C(sp3)–H Borylation with Phosphoramidite Chiral Ligands,Ronald L Reyes;Tomoya Harada;Tohru Taniguchi;Kenji Monde;Tomohiro Iwai;Masaya Sawamura,Chemistry Letters,Oxford University Press,2017,2017,48
124,10.2217/nnm.12.95,W2057800258,Metallofullerol nanoparticles with low toxicity inhibit tumor growth by induction of G0/G1 arrest,Jie Meng;Jianmin Xing;Xiaowei Ma;Weipeng Cao;Juan Lu;Yingze Wang;Xueyun Gao;Baoyun Sun;Xingjie Liang;Yuliang Zhao,Nanomedicine,Future Medicine - Future Science Group,2012,2013,48
125,10.1016/j.aej.2012.09.004,W1984862216,Effect of Exhaust Gas Recirculation (EGR) on Performance and Emission characteristics of a Three Cylinder Direct Injection Compression Ignition Engine,Jaffar Hussain;Kichenaradjou Palaniradja;N Alagumurthi;R Manimaran,Alexandria Engineering Journal,Elsevier,2012,2012,47
126,10.1016/j.enbuild.2010.12.025,W2052270804,"TiO2 nanoparticles effects on physical, thermal and mechanical properties of self compacting concrete with ground granulated blast furnace slag as binder",Ali Nazari;Shadi Riahi,Energy and Buildings,Elsevier,2010,2019,47
127,10.1016/s1074-7613(00)80103-x,W2069904188,"Uncoupling IL-2 signals that regulate T cell proliferation, survival, and Fas-mediated activation-induced cell death",Luk Van Parijs;Yosef Refaeli;James D Lord;Brad H Nelson;Abul K Abbas;David Baltimore,Immunity,Elsevier,1999,2009,47
128,10.1002/14651858.cd003017.pub2,W2098427325,Pharmacological interventions for recurrent abdominal pain (RAP) and irritable bowel syndrome (IBS) in childhood (Pub 2),Angela A Huertas Ceballos;Stuart Logan;Cathy Bennett;Colin Macarthur,Cochrane Database of Systematic Reviews,Wiley,2008,2014,46
129,10.1016/j.cropro.2017.05.004,W2612411364,Pesticide use in vegetable crops in Pakistan: Insights through an ordered probit model,Christos A Damalas;Muhammad Khan,Crop Protection,Elsevier,2017,2017,46
130,10.1016/j.nbd.2008.02.009,W2160059242,Endoplasmic reticulum stress and induction of the unfolded protein response in human sporadic amyotrophic lateral sclerosis,Julie D Atkin;Manal A Farg;Adam K Walker;Catriona McLean;Doris Tomas;Malcolm K Horne,Neurobiology of Disease,Elsevier,2008,2020,46
131,10.1038/nature12594,W1997431998,Odour Receptors and Neurons for DEET and New Insect Repellents,Pinky Kain;Sean Michael Boyle;Sana Khalid Tharadra;Tom Guda;Christine Pham;Anupama Dahanukar;Anandasankar Ray,Nature,Nature Publishing Group,2013,2016,46
132,10.1038/s41467-020-19723-8,W3098671446,The association between early career informal mentorship in academic collaborations and junior author performance,Bedoor Alshebli;Kinga Makovi;Talal Rahwan,Nature Communications,Springer - Nature Publishing Group,2020,2020,46
133,10.2106/jbjs.f.00906,W1997508224,Preventing the development of chronic pain after orthopaedic surgery with preventive multimodal analgesic techniques,Scott S Reuben;Asokumar Buvanendran,The Journal of Bone and Joint Surgery,Wolters Kluwer - Lippincott Williams & Wilkins,2007,2009,46
134,10.4049/jimmunol.181.5.3137,W2126463172,Reprogrammed FoxP3+ T Regulatory Cells Become IL-17+ Antigen-Specific Autoimmune Effectors In Vitro and In Vivo,Suresh Radhakrishnan;Rosalyn Cabrera;Erin L Schenk;Pilar Nava-Parada;Michael P Bell;Virginia P Van Keulen;Ronald J Marler;Sara J Felts;Larry R Pease,The Journal of Immunology : Official Journal of the American Association of Immunologists,American Association of Immunologists,2008,2010,46
135,10.1038/35001001,W2779327081,Directed Evolution of New Catalytic Activity Using the Alpha/beta-barrel Scaffold,Myriam M Altamirano;Jonathan M Blackburn;Cristina Aguayo;Alan R Fersht,Nature,Nature Publishing Group,2000,2002,45
136,10.1038/354476a0,W2022907394,"Amyloid Plaques, Neurofibrillary Tangles and Neuronal Loss in Brains of Transgenic Mice Overexpressing a C-terminal Fragment of Human Amyloid Precursor Protein",Shigeki Kawabata;Gerald A Higgins;Jon W Gordon,Nature,Nature Publishing Group,1991,1992,45
137,10.1038/nature11700,W2001358320,The NAD-dependent Deacetylase SIRT2 is Required for Programmed Necrosis,Nisha Narayan;In Hye Lee;Ronen Borenstein;Junhui Sun;Renee Wong;Guang Tong;Maria M Fergusson;Jie Liu;Ilsa I Rovira;Hwei-Ling Cheng;Guanghui Wang;Marjan Gucek;David Lombard;Fredrick W Alt;Michael N Sack;Elizabeth Murphy;Liu Cao;Toren Finkel,Nature,Nature Publishing Group,2011,2014,45
138,10.1073/pnas.86.20.7928,W2011892883,Heparin-binding growth factor 1 induces the formation of organoid neovascular structures in vivo,John A Thompson;Christian C Haundenschild;Kathryn D Anderson;Judith M DiPietro;W French Anderson;Thomas Maciag,PNAS: Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences (NAS),1989,1992,45
139,10.1108/jpbm-04-2020-2862,W3082423843,The sharing economy: the influence of perceived corporate social responsibility on brand commitment,Mobin Fatma;Imran Khan;Zillur Rahman;Andrea Perez,Journal of Product & Brand Management,Emerald,2020,2020,45
140,10.1126/science.1112869,W2087041160,A magnetic nanoprobe technology for detecting molecular interactions in live cells,Jaejoon Won;Mina Kim;Yong-Weon Yi;Young Ho Kim;Neoncheol Jung;Tae Kook Kim,Science,American Association for the Advancement of Science (AAAS),2005,2009,45
141,10.1165/rcmb.2012-0088oc,W2153931434,Phenazine Content in the Cystic Fibrosis Respiratory Tract Negatively Correlates with Lung Function and Microbial Complexity,Ryan C Hunter;Vanja Klepac-Ceraj;Magen M Lorenzi;Hannah Grotzinger;Thomas R Martin;Dianne K Newman,American Journal of Respiratory Cell and Molecular Biology,American Thoracic Society,2012,2018,45
142,10.4061/2011/431246,W2014776081,Oral carcinogenesis and oral cancer chemoprevention: a review,Takuji Tanaka;Mayu Tanaka;Takahiro Tanaka,Pathology Research International,Hindawi,2011,2016,45
143,10.1002/adma.201301243,W1965378741,High-volumetric performance aligned nano-porous microwave exfoliated graphite oxide-based electrochemical capacitors,Mehdi Ghaffari;Yue Zhou;Haiping Xu;Minren Lin;Tae Young Kim;Rodney S Ruoff;QM Zhang,Advanced Materials,Wiley,2013,2016,44
144,10.1038/cdd.2010.114,W2081190281,INrf2 (Keap1) Targets Bcl-2 Degradation and Controls Cellular Apoptosis,Suryakant K Niture;Anil K Jaiswal,Cell Death and Differentiation,Nature Publishing Group,2011,2013,44
145,10.1038/nature02356,W2049352189,The Large-conductance Ca2+-activated K+ Channel is Essential for Innate Immunity,Jatinder Ahluwalia;Andrew Tinker;Lucie H Clapp;Michael R Duchen;Andrey Y Abramov;Simon Pope;Muriel Nobles;Anthony W Segal,Nature,Nature Publishing Group,2004,2010,44
146,10.1111/j.1464-5491.2004.01194.x,W2003508199,"The Effect of Spironolactone, Cilazapril and Their Combination on Albuminuria in Patients with hypertension and diabetic Nephropathy is Independent of Blood Pressure Reduction: A Randomized Controlled Study",Rita Rachmani;Inna Slavachevsky;M Amit;Zohar Levi;Yoav Kedar;Maya Berla;Mordchai Ravid,Diabetic Medicine: a Journal of the British Diabetic Association,Wiley,2004,2006,44
147,10.1126/science.1119776,W1994392652,X-ray structure of the EmrE multidrug transporter in complex with a substrate,Owen Pornillos;Yen-Ju Chen;Andy P Chen;Geoffrey Chang,Science,American Association for the Advancement of Science (AAAS),2005,2006,44
148,10.1200/jco.2010.29.7531,W2159503446,Prospective analysis of hepatitis B virus reactivation in patients with diffuse large B-cell lymphoma after rituximab combination chemotherapy,Nozomi Niitsu;Yuki Hagiwara;Ken Tanae;Mika Kohri;Naoki Takahashi,Journal of Clinical Oncology : Official Journal of the American Society of Clinical Oncology,American Society of Clinical Oncology,2010,2011,43
149,10.1016/j.ijpx.2020.100050,W3116673546,Advances in drug delivery systems: Work in progress still needed?,Flavia Laffleur;Valérie Keckeis,International Journal of Pharmaceutics: X,Elsevier,2020,2020,42
150,10.1039/c3tc00082f,W2100893889,"Enhanced photoluminescence, Raman spectra and field-emission behavior of indium-doped ZnO nanostructures",Khalid Mahmood;Seung Bin Park;Hyung Jin Sung,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2013,2017,42
151,10.1080/02642060802188023,W2104345276,Influence of restaurants' physical environments on emotion and behavioral intention,Kisang Ryu;Soocheong Jang,The Service Industries Journal,Taylor and Francis,2010,2017,42
152,10.1172/jci32865,W2115883095,Curcumin prevents and reverses murine cardiac hypertrophy,Hong-Liang Li;Chen Liu;Geoffrey de Couto;Maral Ouzounian;Mei Sun;Ai-Bing Wang;Yue Huang;Cheng-Wei He;Yu Shi;Xin Chen;Mai P Nghiem;Youan Liu;Manyin Chen;Fayez Dawood;Masahiro Fukuoka;Yuichiro Maekawa;Liyong Zhang;Asish K Ghosh;Lorrie A Kirshenbaum;Peter P Liu,The Journal of Clinical Investigation (JCI),American Society for Clinical Investigation,2008,2009,42
153,10.1002/14651858.cd003024,W4211005039,Primary prevention for alcohol misuse in young people,David Foxcroft;Diana Ireland;Geoff Lowe;Rosie Breen,Cochrane Database of Systematic Reviews,Wiley,2002,2011,41
154,10.1016/s0092-8674(03)00350-7,W2006124330,The Pathogen-inducible Nitric Oxide Synthase (iNOS) in Plants is a Variant of the P Protein of the Glycine Decarboxylase Complex,Meena R Chandok;A Jimmy Ytterberg;Klaas J van Wijk;Daniel F Klessig,Cell,Elsevier - Cell Press,2003,2004,41
155,10.1038/nmat4366,W1776351574,Fast and Long-range Triplet Exciton Diffusion in Metal-organic Frameworks for photon Upconversion at Ultralow Excitation Power,Prasenjit Mahato;Angelo Monguzzi;Nobuhiro Yanai;Teppei Yamada;Nobuo Kimizuka,Nature Materials,Nature Publishing Group,2016,2016,41
156,10.1074/jbc.m804788200,W2042907812,Down-regulation of micro-RNA-1 (miR-1) in lung cancer. Suppression of tumorigenic property of lung cancer cells and their sensitization to doxorubicin-induced apoptosis by miR-1,Mohd W Nasser;Jharna Datta;Gerard J Nuovo;Huban Kutay;Tasneem Motiwala;Sarmila Majumder;Bo Wang;Saul Suster;Samson T Jacob;Kalpana Ghoshal,The Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology (ASBMB),2008,2018,41
157,10.1099/mic.0.27758-0,W2129367965,Secondary metabolites from endophytic Streptomyces aureofaciens CMUAc130 and their antifungal activity,Thongchai Taechowisan;Chunhua Lu;Salsamorn Lumyong;Yuemao Shen,Microbiology,Ingenta,2005,2007,41
158,10.1126/science.1185880,W2060797201,Small RNA Duplexes Function as Mobile Silencing Signals Between Plant Cells,Patrice Dunoyer;Gregory Schott;Christophe Himber;Denise Meyer;Atsushi Takeda;James C Carrington;Olivier Voinnet,Science,American Association for the Advancement of Science (AAAS),2010,2016,41
159,10.3233/jad-2011-110002,W2148272634,Disturbed Neurotransmitter Transporter Expression in Alzheimer’s Disease Brain,Kevin H Chen;Edmund A Reese;Hyung-Wook Kim;Stanley Isaac Rapoport;Jagadeesh Sridhara Rao,Journal of Alzheimer's Disease (JAD),IOS Press (bought by Sage November 2023),2011,2016,41
160,10.3233/jifs-16554,W2734401115,Hesitant pythagorean fuzzy hamacher aggregation operators and their application to multiple attribute decision making,Mao Lu;Guiwu Wei;Fuad E Alsaadi;Tasawar Hayat;Ahmed Alsaedi,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2017,2019,41
161,10.3390/ijgi8010039,W2909978560,Identifying Asphalt Pavement Distress Using UAV LiDAR Point Cloud Data and Random Forest Classification,Zhiqiang Li;Chenqi Cheng;Mei Po Kwan;Xiaochong Tong;Shaohong Tian,ISPRS International Journal of Geo-Information,MDPI,2019,2019,41
162,10.1002/14651858.cd000447.pub2,W1934519169,Spinal manipulative therapy for low‐back pain (Pub 2),Willem JJ Assendelft;Sally C Morton;Emily I Yu;Marika J Suttorp;Paul G Shekelle,Cochrane Database of Systematic Reviews,Wiley,2004,2013,40
163,10.1002/14651858.cd006008.pub3,W1523740154,Intermittent catheterisation for long-term bladder management (Pub 3),Jacqui Prieto;Catherine L Murphy;Katherine N Moore;Mandy Fader,Cochrane Database of Systematic Reviews,Wiley,2014,2017,40
164,10.1034/j.1600-0412.2002.810705.x,W2142360324,"Menopause, energy expenditure, and body composition",Eric T Poehlman,Acta Obstetricia et Gynecologica Scandinavica,Wiley,2002,2005,40
165,10.1038/35099520,W1983979420,Self-assembled monolayer organic field-effect transistors,Jan Hendrik Schön;Hong Meng;Zhenan Bao,Nature,Nature Publishing Group,2001,2003,40
166,10.1038/nature03652,W2031586574,RNA-interference-directed Chromatin Modification Coupled to RNA Polymerase II Transcription,Vera Schramke;Daniel M Sheedy;Ahmet M Denli;Carolina Bonila;Karl Ekwall;Gregory J Hannon;Robin C Allshire,Nature,Nature Publishing Group,2005,2005,40
167,10.1100/2012/202804,W2075097596,Increasing the Stimulation Dose of rFSH in Unexpected Poor Responders Is Not Associated with Better IVF Outcome,Levent Tutuncu;Ozgur Dundar,The Scientific World Journal,Hindawi,2012,2012,40
168,10.1002/14651858.cd003023.pub2,W2153637668,Psychosocial interventions for cocaine and psychostimulant amphetamines related disorders (Pub 2),Werner Paulo Knapp;Bernardo Soares;Michael Farrell;Mauricio Silva de Lima,Cochrane Database of Systematic Reviews,Wiley,2007,2015,39
169,10.1016/j.surge.2012.04.001,W2044500970,Bone Graft Substitutes: What Are the Options?,Haralambos Dinopoulos;Rozalia Dimitriou;Peter V Giannoudis,The Surgeon: Journal of the Royal Colleges of Surgeons of Edinburgh and Ireland,Elsevier,2012,2013,39
170,10.1021/acsami.8b11416,W2891085730,Hierarchical Nanosheet-Built CoNi2S4 Nanotubes Coupled with Carbon-Encapsulated Carbon Nanotubes@Fe2O3 Composites toward High-Performance Aqueous Hybrid Supercapacitor Devices,Meng Li;Xinyue Li;Zhizhang Li;Yihui Wu,ACS Applied Materials & Interfaces,American Chemical Society (ACS),2018,2019,39
171,10.1038/nature07954,W2033455104,GlcNAcylation of a Histone Methyltransferase in Retinoic-acid-induced Granulopoiesis,Ryoji Fujiki;Toshihiro Chikanishi;Waka Hashiba;Hiroaki Ito;Ichiro Takada;Robert G Roeder;Hirochika Kitagawa;Shigeaki Kato,Nature,Nature Publishing Group,2009,2013,39
172,10.1038/onc.2010.181,W1972217867,miR-661 Expression in SNAI1-induced Epithelial to Mesenchymal Transition Contributes to Breast Cancer Cell Invasion by Targeting Nectin-1 and StarD10 Messengers,Guillaume Vetter;Anne Saumet;Moes Michèle;Laurent Vallar;Antony Le Béchec;Cristina Laurini;Michelle Sabbah;Khalil Arar;Charles Theillet;Charles-Henri Lecellier;Evelyne Friederich,Oncogene,Nature Publishing Group,2010,2015,39
173,10.1073/pnas.0501997102,W2021331088,S1P3 receptor-induced reorganization of epithelial tight junctions compromises lung barrier integrity and is potentiated by TNF.,Yasuhiro Gon;Malcolm R Wood;William B Kiosses;Euijung Jo;M Germana Sanna;Hugh Rosen,PNAS: Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences (NAS),2005,2009,39
174,10.1073/pnas.2637011100,W2008666091,Molecular dissection of the roles of nucleotide binding and hydrolysis in dynein's AAA domains in Saccharomyces cerevisiae,Samara L Reck-Peterson;Ronald D Vale,PNAS: Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences (NAS),2004,2004,39
